cities,mean,count,normalized_mean,color
Lo Barnechea,2019538.88,612,1.0,#ff0808
Vitacura,1965234.53,971,0.9681724455766775,#ff1717
Colina,1425790.43,23,0.6520064947626035,#ffb4b4
Las Condes,1320536.82,993,0.5903177902568657,#ffd1d1
Buin,844857.14,7,0.31152390167761446,#afe79f
Providencia,837703.93,976,0.30733143494932375,#aee69d
La Reina,776690.26,78,0.2715715758866217,#9fe28b
Peñalolén,751639.66,58,0.2568895230706523,#99e083
Huechuraba,748185.14,155,0.25486484321891933,#99e083
Alhué,702000.0,3,0.22779592411945912,#8ddc75
Lampa,607288.89,9,0.17228613516114752,#76d559
Ñuñoa,604664.11,993,0.1707477624838344,#74d557
Maipú,502848.19,149,0.11107387383659607,#5ccd3a
Padre Hurtado,502275.62,32,0.11073829293311113,#5ccd3a
Quilicura,495294.12,17,0.10664646472401874,#5acd38
Puente Alto,471290.54,74,0.09257806598976306,#54cb30
Melipilla,470000.0,5,0.09182168584553016,#54cb30
Macul,458291.84,624,0.08495958180419705,#50ca2c
Recoleta,447832.89,252,0.07882963456542502,#4fc92a
Pudahuel,445451.43,28,0.07743387073146023,#4dc928
La Florida,441047.9,974,0.07485298005272578,#4dc928
San Bernardo,418320.0,80,0.06153225207830322,#47c720
Cerrillos,411000.0,10,0.05724203042241891,#45c61e
San Joaquín,407117.63,179,0.05496658945928291,#45c61e
San Miguel,406660.33,974,0.054698567824961075,#45c61e
Pedro Aguirre Cerda,405000.0,2,0.05372545529464489,#43c61c
San Ramón,404142.86,7,0.05322308909380818,#43c61c
Talagante,392000.0,5,0.04610620918446783,#40c518
Renca,380818.18,22,0.03955259083526014,#3ec416
El Bosque,380555.56,9,0.03939867034191747,#3ec416
Conchalí,379931.51,73,0.03903291722383625,#3dc414
Santiago,371570.61,980,0.0341326283928686,#3bc312
Cerro Navia,367500.0,4,0.03174686074605723,#3bc312
La Cisterna,363174.59,903,0.029211755875486405,#39c310
La Granja,347500.0,18,0.020024943653477147,#36c20c
Lo Prado,347199.2,25,0.019848646020404752,#36c20c
Quinta Normal,346503.5,380,0.019440899134339346,#35c10a
Independencia,341717.24,748,0.01663569198916272,#35c10a
Estación Central,316958.08,946,0.002124450949066483,#2ebf02
La Pintana,313333.33,3,0.0,#2ebf02
